# CPUs, Elapsed time (s), Elapsed time (hh:mm:ss), User-mode time (s), Kernel-mode time (s), CPU used (%), File system inputs, File system outputs, # Swaps, # Major page faults, # Minor page faults, Avg. shared text (KB), Avg. unshared stack size (KB), Avg. unshared data (KB), Avg. total memory usage (KB), # Involuntary context switches, # Voluntary context switches, Exit status, Executed command
21, 96.29, 1:36.29, 1755.19, 6.74, 1829%, 0, 223072, 0, 0, 119834, 0, 0, 0, 0, 2741, 281, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p21 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.21"
21, 96.97, 1:36.97, 1757.76, 6.73, 1819%, 0, 223072, 0, 0, 119834, 0, 0, 0, 0, 3030, 293, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p21 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.21"
21, 98.55, 1:38.55, 1754.20, 6.78, 1786%, 0, 223072, 0, 0, 119834, 0, 0, 0, 0, 2967, 281, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p21 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.21"
22, 95.85, 1:35.85, 1893.78, 6.66, 1982%, 0, 222944, 0, 0, 120530, 0, 0, 0, 0, 2811, 307, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p22 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.22"
22, 95.53, 1:35.53, 1895.40, 6.71, 1990%, 0, 222944, 0, 0, 120530, 0, 0, 0, 0, 2768, 317, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p22 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.22"
22, 96.54, 1:36.54, 1899.10, 6.66, 1974%, 0, 222944, 0, 0, 120530, 0, 0, 0, 0, 3126, 332, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p22 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.22"
23, 98.20, 1:38.20, 1900.52, 6.76, 1942%, 0, 223104, 0, 0, 121558, 0, 0, 0, 0, 2402, 340, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p23 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.23"
23, 97.49, 1:37.49, 1895.06, 6.69, 1950%, 0, 223104, 0, 0, 121558, 0, 0, 0, 0, 2373, 312, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p23 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.23"
23, 97.64, 1:37.64, 1898.88, 6.71, 1951%, 0, 223104, 0, 0, 121558, 0, 0, 0, 0, 2302, 379, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p23 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.23"
24, 94.03, 1:34.03, 1962.19, 7.03, 2094%, 0, 223264, 0, 0, 122413, 0, 0, 0, 0, 2146, 320, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p24 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.24"
